user_id	talk_id	bookmark_time
3425	10631	09/13/2016 11:11:49
3425	10665	09/28/2016 20:21:53
3426	10589	09/09/2016 02:35:00
3426	10616	09/23/2016 18:36:37
3426	10619	09/12/2016 16:32:16
3426	10620	09/12/2016 16:33:48
3426	10637	09/15/2016 19:45:22
3426	10662	09/21/2016 01:36:04
3426	10665	09/20/2016 22:20:44
3427	10465	09/02/2016 14:59:55
3427	10507	10/11/2016 14:58:30
3427	10522	10/11/2016 14:56:42
3427	10552	09/01/2016 23:00:27
3427	10558	09/05/2016 22:36:03
3427	10562	09/02/2016 11:23:09
3427	10570	09/14/2016 12:35:40
3427	10616	10/10/2016 17:22:12
3427	10620	09/14/2016 13:30:08
3427	10636	09/18/2016 02:23:16
3427	10664	10/10/2016 14:19:41
3427	10665	09/22/2016 14:23:36
3427	10687	10/11/2016 15:00:20
3428	10505	09/26/2016 18:34:47
3428	10523	09/02/2016 16:27:16
3428	10525	09/26/2016 19:05:55
3428	10534	10/04/2016 02:49:40
3428	10546	10/04/2016 03:05:33
3428	10549	09/26/2016 18:34:16
3428	10558	09/06/2016 22:37:01
3428	10562	09/05/2016 12:07:51
3428	10565	10/04/2016 03:03:49
3428	10567	10/04/2016 03:10:08
3428	10578	09/26/2016 19:12:14
3428	10585	09/26/2016 19:11:42
3428	10591	09/21/2016 15:18:05
3428	10599	09/26/2016 19:12:07
3428	10610	09/26/2016 19:11:18
3428	10616	09/29/2016 02:31:52
3428	10620	09/25/2016 17:26:40
3428	10631	09/19/2016 15:39:44
3428	10662	09/21/2016 20:29:47
3428	10665	09/19/2016 15:33:33
3428	10676	09/29/2016 02:34:43
3430	10492	09/13/2016 13:11:24
3430	10523	09/05/2016 21:19:52
3430	10551	09/09/2016 10:45:08
3430	10562	09/05/2016 21:19:47
3430	10581	09/06/2016 21:45:51
3430	10585	09/13/2016 13:09:32
3430	10589	09/09/2016 10:43:22
3430	10591	09/29/2016 15:43:11
3430	10620	09/28/2016 10:40:39
3430	10626	09/13/2016 13:10:53
3430	10636	09/16/2016 16:52:21
3431	10515	09/18/2016 10:30:29
3431	10523	09/02/2016 11:15:57
3431	10562	09/02/2016 11:15:52
3431	10564	09/24/2016 11:03:31
3431	10570	09/07/2016 16:33:46
3431	10581	09/07/2016 16:30:47
3431	10583	09/24/2016 11:07:59
3431	10585	09/07/2016 16:24:26
3431	10607	09/23/2016 10:37:53
3431	10620	09/24/2016 11:07:19
3431	10626	09/18/2016 10:27:26
3431	10630	09/20/2016 19:14:14
3431	10636	09/20/2016 19:16:46
3431	10662	09/20/2016 19:14:53
3431	10665	09/20/2016 19:25:20
3431	10683	09/24/2016 11:05:53
3432	10525	09/08/2016 11:59:49
3432	10552	09/01/2016 12:24:09
3432	10555	09/15/2016 13:49:32
3432	10558	09/08/2016 09:40:19
3432	10620	09/24/2016 12:32:46
3432	10626	09/19/2016 12:45:41
3432	10631	09/19/2016 12:41:15
3432	10635	09/18/2016 20:03:35
3432	10676	09/22/2016 12:04:14
3432	10683	09/24/2016 12:29:59
3437	10527	09/02/2016 14:58:15
3437	10534	09/04/2016 16:50:53
3437	10553	09/04/2016 16:49:22
3437	10578	09/12/2016 20:59:03
3437	10665	09/20/2016 21:06:15
3437	10684	09/28/2016 15:52:09
3438	10502	09/07/2016 15:57:12
3438	10552	09/02/2016 02:00:05
3438	10591	09/28/2016 23:02:10
3438	10623	09/13/2016 16:44:24
3438	10637	09/15/2016 14:19:41
3438	10682	09/28/2016 23:03:57
3441	10546	09/02/2016 22:31:49
3441	10589	09/07/2016 13:54:27
3441	10603	09/13/2016 17:27:01
3441	10635	09/18/2016 17:30:29
3441	10665	09/21/2016 14:35:58
3444	10523	09/06/2016 10:26:57
3444	10610	09/12/2016 15:22:50
3444	10636	09/23/2016 12:13:56
3447	10699	10/22/2016 23:49:23
3449	10616	09/28/2016 23:52:36
3450	10665	09/20/2016 16:55:20
3456	10591	09/28/2016 20:48:37
3456	10616	09/28/2016 20:39:16
